ID_Gireve_Zone;Nom_Enseigne_dexploitation;Nom_Zone;Libelle_Affichable;ID_Exploitant_Zone;ID_eMI3_Zone;Agregateur;Id_Agregateur;Nom_Exploitant_Technique;ID_eMI3_Exploitant_T;Nom_Exploitant_Proprietaire;ID_eMI3_Exploitant_P;Nom_Exploitant_Commercial;ID_eMI3_Exploitant_C;Numero_Rue;Nom_Rue;Ville;Code_Postal;Pays;Complement_Adresse;Latitude_Zone;Longitude_Zone;Etage_dimplantation_Zone;Nombre_Borne_Zone;Nombre_Parking_Zone;Accessibilite_Zone;Type_Site_dimplantation_Zone;Statut_activite_Zone;Latitude_Entree_Zone;Longitude_Entree_Zone;Numero_Tel_Zone;Identifiant_GRD_du_PDL;Commentaire_Acces;Horaires_Geres;24/24;Ouverture_Lundi;Fermeture_Lundi;Ouverture_Mardi;Fermeture_Mardi;Ouverture_Mercredi;Fermeture_Mercredi;Ouverture_Jeudi;Fermeture_Jeudi;Ouverture_Vendredi;Fermeture_Vendredi;Ouverture_Samedi;Fermeture_Samedi;Ouverture_Dimanche;Fermeture_Dimanche;ID_Audit;Auteur_Audit;Informations_Audit;Date_Audit;ID_Gireve_Borne;ID_Exploitant_Borne;Identifiant_visuel_Borne;Nombre_PointsdeCharge_Borne;Borne_communiquante;Fabricant_Borne;Modele_Borne;Type_acces_Borne;Mode_authentification;Langue_Borne;Commentaire;Mode_paiement;Commentaires_paiement;ID_Gireve_Point;IDExt_Point;Identifiant_pt_charge;Identifiant_visuel_pt_charge;Comptage_Type;Type_Courant;Nombre_prises;Puissance_Max;Label_certification;Roamable;ID_Gireve_Groupe;Service_Name;Nom_Type_Prise1;Intensite_Prise1;Nom_Type_Prise2;Intensite_Prise2;Nom_Type_Prise3;Intensite_Prise3;Nom_Type_Prise4;Intensite_Prise4;Nom_Type_Prise5;Intensite_Prise5
393371;Lidl;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1;Villenave-d'Ornon;;;;;LIDL | FR*E07;FR*E07;LIDL;;;;1;Avenue du 7ème art;Villenave-d'Ornon;33140;FR;;44.788329;-0.535354;0;3;6;1;4;2;44.788329;-0.535354;;;;1;0;;;;;;;;;;;;;;;;;;;515096;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1-B2;;2;1;Schneider;EVLink;1;100;fr;;1;;939416;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1-B2-P2;;;0;2;2;22.000;;0;;;9;32;4;13;;;;;;
393371;Lidl;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1;Villenave-d'Ornon;;;;;LIDL | FR*E07;FR*E07;LIDL;;;;1;Avenue du 7ème art;Villenave-d'Ornon;33140;FR;;44.788329;-0.535354;0;3;6;1;4;2;44.788329;-0.535354;;;;1;0;;;;;;;;;;;;;;;;;;;515099;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1-B3;;2;1;Schneider;EVLink;1;100;fr;;1;;939419;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1-B3-P1;;;0;2;2;22.000;;0;;;9;32;4;13;;;;;;
393371;Lidl;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1;Villenave-d'Ornon;;;;;LIDL | FR*E07;FR*E07;LIDL;;;;1;Avenue du 7ème art;Villenave-d'Ornon;33140;FR;;44.788329;-0.535354;0;3;6;1;4;2;44.788329;-0.535354;;;;1;0;;;;;;;;;;;;;;;;;;;515099;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1-B3;;2;1;Schneider;EVLink;1;100;fr;;1;;939422;Lidl/Villenave-d'Ornon/Avenue du 7ème art/1-B3-P2;;;0;2;2;22.000;;0;;;9;32;4;13;;;;;;
393374;Lidl;Lidl/Wiwersheim/Allée de L'Économie/2;Wiwersheim;;;;;LIDL | FR*E07;FR*E07;LIDL;;;;2;Allée de L'Économie;Wiwersheim;67370;FR;;48.642336;7.600017;0;1;2;1;4;2;48.642336;7.600017;;;;1;0;;;;;;;;;;;;;;;;;;;515102;Lidl/Wiwersheim/Allée de L'Économie/2-B1;;2;1;Schneider;EVLink;1;100;fr;;1;;939425;Lidl/Wiwersheim/Allée de L'Économie/2-B1-P1;;;0;2;2;22.000;;0;;;9;32;4;13;;;;;;
393374;Lidl;Lidl/Wiwersheim/Allée de L'Économie/2;Wiwersheim;;;;;LIDL | FR*E07;FR*E07;LIDL;;;;2;Allée de L'Économie;Wiwersheim;67370;FR;;48.642336;7.600017;0;1;2;1;4;2;48.642336;7.600017;;;;1;0;;;;;;;;;;;;;;;;;;;515102;Lidl/Wiwersheim/Allée de L'Économie/2-B1;;2;1;Schneider;EVLink;1;100;fr;;1;;939428;Lidl/Wiwersheim/Allée de L'Économie/2-B1-P2;;;0;2;2;22.000;;0;;;9;32;4;13;;;;;;
393377;Volkswagen;Volkswagen/Ahuy /Rue des Ruchottes/14;Ahuy ;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;14;Rue des Ruchottes;Ahuy;21121;FR;;47.357975;5.038628;0;1;1;1;4;2;47.357975;5.038628;33359281042;;;1;1;08:00:00-12:00:00;14:00:00-19:00:00;08:00:00-12:00:00;14:00:00-19:00:00;08:00:00-12:00:00;14:00:00-19:00:00;08:00:00-12:00:00;14:00:00-19:00:00;08:00:00-12:00:00;14:00:00-19:00:00;08:00:00-12:00:00;14:00:00-19:00:00;;;;;;;515105;Volkswagen/Ahuy /Rue des Ruchottes/14-B1;;1;2;ABB;;7;13;fr;;1;;939431;Volkswagen/Ahuy /Rue des Ruchottes/14-B1-P1;;;0;2;1;50.000;;0;;;3;125;;;;;;;;
393380;Volkswagen;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4;Bellerive-sur-Allier;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;4;Avenue du Général de Gaulle;Bellerive-sur-Allier;3700;FR;;46.114621;3.413917;0;3;3;1;4;2;46.114621;3.413917;;;;1;1;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;;;;;;;515108;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4-B1;;1;0;;;7;100;fr;;1;;939434;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4-B1-P1;;;0;2;1;11.000;;0;;;9;16;;;;;;;;
393380;Volkswagen;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4;Bellerive-sur-Allier;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;4;Avenue du Général de Gaulle;Bellerive-sur-Allier;3700;FR;;46.114621;3.413917;0;3;3;1;4;2;46.114621;3.413917;;;;1;1;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;;;;;;;515111;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4-B2;;1;0;;;7;100;fr;;1;;939437;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4-B2-P1;;;0;2;1;11.000;;0;;;9;16;;;;;;;;
393380;Volkswagen;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4;Bellerive-sur-Allier;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;4;Avenue du Général de Gaulle;Bellerive-sur-Allier;3700;FR;;46.114621;3.413917;0;3;3;1;4;2;46.114621;3.413917;;;;1;1;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;08:00:00-19:00:00;;;;;;;;515114;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4-B3;;1;0;;;7;13;fr;;1;;939440;Volkswagen/Bellerive-sur-Allier/Avenue du Général de Gaulle/4-B3-P1;;;0;2;1;22.000;;0;;;3;55;;;;;;;;
393383;Volkswagen;Volkswagen/Longeville-lès-Saint-Avold /RN3/;Longeville-lès-Saint-Avold ;;;;;VOLKSWAGEN Group France | FR*E85;FR*E85;VOLKSWAGEN Group France;;;;;RN3;Longeville-lès-Saint-Avold;57740;FR;ZAC;49.109992;6.681055;0;6;6;1;4;2;49.109992;6.681055;33355684000;;;1;1;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;08:00:00-18:00:00;;;;;;;;515117;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B1;;1;0;Hager;Evlink;7;100;fr;;1;;939443;Volkswagen/Longeville-lès-Saint-Avold /RN3/-B1-P1;;;0;2;1;75.000;;0;;;3;200;;;;;;;;
